81.4,124.5,1.44,20.5,12.08,10.72,0.12,15.24,127.09,0.2,6.5,0.06,Moderate
78.32,129.06,1.26,26,14.85,10.28,0.14,26.96,117.44,0.22,7.95,0.08,Moderate
88.76,135.32,6.6,30.85,21.77,12.91,0.11,33.59,111.81,0.29,7.63,0.12,Moderate
64.18,104.09,2.56,28.07,17.01,11.42,0.09,19,138.18,0.17,5.02,0.07,Moderate
72.47,114.84,5.23,23.2,16.59,12.25,0.16,10.55,109.74,0.21,4.71,0.08,Moderate
69.8,114.86,4.69,20.17,14.54,10.95,0.12,14.07,118.09,0.16,3.52,0.06,Moderate
73.96,113.56,4.58,19.29,13.97,10.95,0.1,13.9,123.8,0.17,2.85,0.04,Moderate
89.9,140.2,7.71,26.19,19.87,13.12,0.1,19.37,128.73,0.25,2.79,0.07,Moderate
87.14,130.52,0.97,21.31,12.12,14.36,0.15,11.41,114.8,0.23,3.82,0.04,Poor
84.64,125,4.02,26.98,17.58,14.41,0.18,9.84,112.41,0.31,3.53,0.09,Moderate
88.36,121.77,3.7,20.23,13.75,13.72,0.12,14.02,117.93,0.24,2.92,0.03,Moderate
96.83,139.36,1.6,25.65,14.99,15.12,0.11,16.54,117.21,0.29,4.45,0.07,Poor
117.46,181.64,4.26,41.1,25.32,17.34,0.13,28.79,94.63,0.36,6.21,0.17,Poor
122.88,208.86,5.56,54.87,33.71,17.96,0.27,22.97,68.6,0.36,6.28,0.21,Very Poor
74.28,141.22,6.1,44.97,28.88,15.73,0.09,21.9,60.62,0.26,4.79,0.16,Moderate
50.32,102.77,1.73,33.85,19.41,12.56,0.1,13.65,68.15,0.2,4.29,0.1,Moderate
58.47,115.27,4.93,41.64,26.15,15.2,0.16,18.37,73.75,0.23,5.51,0.16,Moderate
89.35,131.48,7.97,42.1,28.88,21.24,0.24,7.42,44.67,0.28,7.01,0.19,Moderate
64.42,99.74,7.2,34.78,24.36,17.63,0.15,5.81,50.16,0.24,6.11,0.14,Moderate
69.4,98.94,5.81,29.97,20.67,19.34,0.14,5.8,55,0.23,5.09,0.14,Moderate
71.07,109.65,4.19,25,16.7,16,0.1,8.33,79.04,0.18,3.45,0.07,Moderate
79.76,129.81,8.77,40.92,28.84,15.56,0.17,8.51,73.17,0.24,4.41,0.13,Moderate
108.06,167.62,7.29,47.05,30.94,18.52,0.08,16.05,70.74,0.31,4.32,0.24,Poor
100.75,172.04,7.63,53.94,33.45,18.49,0.11,14.05,59.2,0.26,3.77,0.19,Poor
106.25,171.56,2.74,43.09,21.78,19.66,0.13,15.45,66.9,0.28,3.13,0.18,Poor
83.79,141.83,6.77,47.47,30.74,17.37,0.3,13.35,77.54,0.29,3.7,0.15,Poor
79.98,147.74,7.02,49.55,32.07,17.28,0.14,13.58,79.71,0.33,3.95,0.19,Moderate
76.27,152.59,7.51,56,35.9,19.53,0.15,29.88,56.97,0.29,4.44,0.19,Moderate
86.5,147.95,5.24,42,26.6,20.78,0.15,11.85,73.09,0.31,3.9,0.17,Moderate
100.62,167.75,3.75,47.68,28.41,23.68,0.22,10.85,62.78,0.34,4.81,0.29,Poor
110.73,171.47,1.69,31.06,17.89,21.66,0.1,12.23,76.07,0.33,3.96,0.16,Poor
107.7,170.21,4.97,43.54,27.2,22.52,0.17,18.07,64.6,0.33,4.01,0.16,Poor
104.81,192.2,9.59,63.48,41.57,21.06,0.23,17.01,63.87,0.38,4.1,0.36,Poor
89.95,175.16,10.95,64.53,43.23,18.87,0.27,15.52,62.49,0.36,4.12,0.23,Poor
74.58,138.6,6.14,46.65,29.81,18.2,0.17,9.47,67.11,0.32,3.76,0.18,Moderate
56.68,109.33,4.6,33.26,21.44,16.86,0.1,8.26,66.91,0.25,3.28,0.14,Moderate
61.03,131.62,5.51,39.5,25.49,17.82,0.08,11.45,61.91,0.33,4.16,0.19,Moderate
59.03,108.83,3.45,23.36,15.23,18.03,0.09,26.05,87.55,0.23,3.2,0.09,Moderate
61.88,109.82,3.87,23.14,15.45,19.57,0.09,12.81,81.38,0.2,3.84,0.04,Moderate
71.57,137.48,5.01,39.99,25.36,25.61,0.09,16.82,80.3,0.24,6.55,0.11,Moderate
92.44,174.75,5.84,53.79,33.36,19.45,0.11,16.93,71.09,0.3,7.23,0.23,Moderate
92.9,162.69,6.38,56.39,35.19,21.02,0.08,23.11,68.79,0.29,7.88,0.2,Poor
85.15,151.97,11.05,61.55,41.72,18.71,0.07,11.86,90.8,0.26,7.14,0.16,Poor
81.47,145.68,6.45,46.9,30.18,20.18,0.07,9.63,96.49,0.25,7.26,0.15,Poor
81.58,132.66,3.97,34.93,21.81,21.59,0.09,12.81,118.91,0.29,6.16,0.15,Poor
79.56,146.64,4.44,37.58,23.6,17.71,0.05,17.77,137.61,0.05,1.1,0.02,Poor
87.43,155.95,3.9,37.31,23.02,22.35,0.1,13.4,121.72,0.1,1.93,0.01,Poor
87.33,153.97,3.95,42.52,25.82,23.66,0.08,35.39,106.17,0.22,6.61,0.07,Poor
110.39,182.54,4.54,52.24,31.49,24.74,0.04,36.01,82.2,0.28,8.48,0.12,Poor
77.51,125.01,3.85,36.41,22.49,20.06,0.05,14.36,72.16,0.19,7.12,0.07,Poor
86.96,129.99,3.65,28.32,18.03,21.23,0.05,4.83,62.6,0.23,6.93,0.07,Moderate
76.29,115.53,2.96,21.35,13.75,20.38,0.05,8.75,69.99,0.18,7.71,0.07,Moderate
67.06,100.34,3.22,20.25,13.29,18.78,0.06,4.7,54.92,0.15,6.52,0.07,Moderate
68.34,104.45,3.71,26.26,16.99,20.29,0.06,6.43,45.63,0.15,6.54,0.07,Moderate
66.28,117.3,7.36,45.13,29.99,21.68,0.05,7.21,45.97,0.19,6.81,0.1,Moderate
64.98,116.14,6.98,45.4,29.83,21.32,0.06,8.83,50.28,0.18,6.79,0.14,Moderate
75.46,132.84,9.56,56.53,37.84,21.88,0.13,30.48,51.98,0.2,6.58,0.14,Moderate
81.58,141.85,4.99,38.15,24.35,19.33,0.05,11.04,59.76,0.16,5.83,0.07,Moderate
78.27,142.86,5.98,45.36,29.01,19.12,0.06,10.32,58.53,0.16,5.57,0.06,Moderate
79.01,138.14,6.16,45.43,29.17,20.29,0.06,10.18,58.04,0.18,5.76,0.07,Moderate
77.98,137.31,5.09,44.96,28.04,21.11,0.06,7.22,50.69,0.17,6.37,0.08,Moderate
77.96,155.73,8.4,59.92,38.7,23.45,0.06,31.01,40.77,0.18,7.39,0.13,Moderate
79.04,143.38,6.19,43.61,28.23,26,0.08,8.67,45.46,0.19,7.14,0.1,Moderate
77.78,131.14,6.1,43.84,28.33,26.3,0.09,7.62,43.26,0.18,6.61,0.07,Moderate
76.48,131.86,4.06,33.37,21.04,22.05,0.06,7.49,45.71,0.16,4.43,0.06,Moderate
74.2,135.97,4.3,35.82,22.55,20.24,0.07,12.16,53,0.15,4.24,0.05,Moderate
